codigo,equipo,slot,jugador_tipo,tier,estado,repetidas,notas,posicion,club,nacimiento,altura,peso,conf_bio,orden_album,pagina,fecha_estado
AUS11,Australia,11,Jackson Irvine,base,pegada,0,,MED,FC St. Pauli (GER),07-03-1993,1.88,,high,15,36-37,
AUS12,Australia,12,Riley McGree,base,pegada,1,,MED,Middlesbrough FC (ENG),02-11-1998,1.78,,high,15,36-37,
AUS13,Australia,13,Foto equipo,base,pegada,1,,,,,,,,15,36-37,
AUS14,Australia,14,Aiden O'Neill,base,pegada,0,,MED,New York City FC (USA),04-07-1998,1.78,,high,15,36-37,2026-06-13
AUS15,Australia,15,Connor Metcalfe,base,pegada,3,,MED,FC St. Pauli (GER),05-11-1999,1.78,,high,15,36-37,2026-06-14
AUS16,Australia,16,Patrick Yazbek,base,pegada,0,,MED,Nashville SC (USA),02-04-2002,1.83,,med,15,36-37,
AUS17,Australia,17,Craig Goodwin,base,falta,0,,DEL,Al-Wehda FC (KSA),16-12-1991,1.83,,med,15,36-37,
AUS18,Australia,18,Kusini Yengi,base,falta,0,,DEL,Aberdeen FC (SCO),01-07-1999,1.88,,med,15,36-37,
AUS19,Australia,19,Nestory Irankunda,base,pegada,2,,DEL,Watford FC (ENG),09-02-2006,1.75,,med,15,36-37,2026-06-14
AUS20,Australia,20,Mohamed Touré,base,pegada,1,,DEL,Norwich City FC (ENG),26-03-2004,1.86,,med,15,36-37,
AUT1,Austria,1,Escudo (foil),T2,pegada,0,escudo foil,,,,,,,39,86-87,2026-06-13
AUT2,Austria,2,Alexander Schlager,base,pegada,1,,POR,RB Salzburg (AUT),01-02-1996,1.90,,high,39,86-87,2026-06-13
AUT3,Austria,3,Patrick Pentz,base,falta,0,,POR,Brondby IF (DEN),02-01-1997,1.91,,med,39,86-87,
AUT4,Austria,4,David Alaba,base,pegada,1,,DEF,Real Madrid CF (ESP),24-06-1992,1.80,,high,39,86-87,2026-06-13
AUT5,Austria,5,Kevin Danso,base,perdida,0,,DEF,Tottenham Hotspur FC (ENG),19-09-1998,1.90,,high,39,86-87,2026-06-06
AUT6,Austria,6,Philipp Lienhart,base,pegada,0,,DEF,SC Freiburg (GER),11-07-1996,1.87,,high,39,86-87,2026-06-14
AUT7,Austria,7,Stefan Posch,base,falta,0,,DEF,Bologna FC (ITA),14-05-1997,1.89,,med,39,86-87,
AUT8,Austria,8,Phillipp Mwene,base,falta,0,,DEF,FSV Mainz 05 (GER),29-01-1994,1.80,,high,39,86-87,
AUT9,Austria,9,Alexander Prass,base,tengo,0,,MED,TSG Hoffenheim (GER),26-05-2001,1.80,,high,39,86-87,2026-06-15
AUT10,Austria,10,Xaver Schlager,base,pegada,0,,MED,RB Leipzig (GER),28-09-1997,1.74,,high,39,86-87,2026-06-10
AUT11,Austria,11,Marcel Sabitzer,base,pegada,0,,MED,Borussia Dortmund (GER),17-03-1994,1.77,,high,39,86-87,2026-06-10
AUT12,Austria,12,Konrad Laimer,base,pegada,0,,MED,Bayern Munchen (GER),27-05-1997,1.80,,high,39,86-87,2026-06-09
AUT13,Austria,13,Foto equipo,base,pegada,0,,,,,,,,39,86-87,2026-06-16
AUT14,Austria,14,Florian Grillitsch,base,tengo,0,,MED,TSG Hoffenheim (GER),07-08-1995,1.85,,med,39,86-87,2026-06-15
AUT15,Austria,15,Nicolas Seiwald,base,pegada,1,,MED,RB Leipzig (GER),04-05-2001,1.79,,high,39,86-87,2026-06-07
AUT16,Austria,16,Romano Schmid,base,pegada,0,,MED,SV Werder Bremen (GER),27-01-2000,1.68,,high,39,86-87,2026-06-09
AUT17,Austria,17,Patrick Wimmer,base,pegada,0,,MED,VfL Wolfsburg (GER),30-05-2001,1.82,,high,39,86-87,2026-06-09
AUT18,Austria,18,Christoph Baumgartner,base,pegada,0,,MED,RB Leipzig (GER),01-08-1999,1.80,,high,39,86-87,2026-06-12
AUT19,Austria,19,Michael Gregoritsch,base,falta,0,,DEL,SC Freiburg (GER),18-04-1994,1.93,,high,39,86-87,
AUT20,Austria,20,Marko Arnautović,base,falta,0,,DEL,Red Star Belgrade (SRB),19-04-1989,1.92,,high,39,86-87,
BEL1,Belgica,1,Escudo (foil),T2,pegada,0,escudo foil,,,,,,,25,58-59,2026-06-13
BEL2,Belgica,2,Thibaut Courtois,base,pegada,0,,POR,Real Madrid CF (ESP),11-05-1992,1.99,,high,25,58-59,2026-06-09
BEL3,Belgica,3,Arthur Theate,base,pegada,2,,DEF,Eintracht Frankfurt (GER),25-05-2000,1.86,,high,25,58-59,2026-06-12
BEL4,Belgica,4,Timothy Castagne,base,pegada,0,,DEF,Fulham FC (ENG),05-12-1995,1.85,,high,25,58-59,
BEL5,Belgica,5,Zeno Debast,base,pegada,0,,DEF,Sporting CP (POR),24-10-2003,1.91,,high,25,58-59,
BEL6,Belgica,6,Brandon Mechele,base,pegada,0,,DEF,Club Brugge KV (BEL),28-01-1993,1.87,,med,25,58-59,
BEL7,Belgica,7,Maxim De Cuyper,base,pegada,2,,DEF,Brighton Hove Albion FC (ENG),22-12-2000,1.83,,high,25,58-59,
BEL8,Belgica,8,Thomas Meunier,base,pegada,0,,DEF,LOSC Lille (FRA),12-09-1991,1.91,,high,25,58-59,
BEL9,Belgica,9,Youri Tielemans,base,pegada,1,,MED,Aston Villa FC (ENG),07-05-1997,1.76,,high,25,58-59,
BEL10,Belgica,10,Amadou Onana,base,pegada,1,,MED,Aston Villa FC (ENG),16-08-2001,1.95,,high,25,58-59,2026-06-13
BEL11,Belgica,11,Nicolas Raskin,base,pegada,0,,MED,Rangers FC (SCO),23-02-2001,1.79,,high,25,58-59,2026-06-09
BEL12,Belgica,12,Alexis Saelemaekers,base,falta,0,,MED,AC Milan (ITA),27-06-1999,1.80,,high,25,58-59,
BEL13,Belgica,13,Foto equipo,base,pegada,0,,,,,,,,25,58-59,2026-06-07
BEL14,Belgica,14,Hans Vanaken,base,tengo,0,,MED,Club Brugge KV (BEL),24-08-1992,1.88,,med,25,58-59,2026-06-17
BEL15,Belgica,15,Kevin De Bruyne,base,pegada,1,,MED,SSC Napoli (ITA),28-06-1991,1.81,,high,25,58-59,2026-06-13
BEL16,Belgica,16,Jérémy Doku,base,pegada,1,,DEL,Manchester City FC (ENG),27-05-2002,1.71,,high,25,58-59,2026-06-07
BEL17,Belgica,17,Charles De Ketelaere,base,falta,0,,DEL,Atalanta BC (ITA),10-03-2001,1.92,,high,25,58-59,
BEL18,Belgica,18,Leandro Trossard,base,falta,0,,DEL,Arsenal FC (ENG),04-12-1994,1.72,,high,25,58-59,
BEL19,Belgica,19,Loïs Openda,base,pegada,1,,DEL,Juventus FC (ITA),16-02-2000,1.77,,high,25,58-59,2026-06-13
BEL20,Belgica,20,Romelu Lukaku,base,pegada,0,,DEL,SSC Napoli (ITA),13-05-1993,1.91,,high,25,58-59,2026-06-12
BIH1,Bosnia y Herzegovina,1,Escudo (foil),T2,falta,0,escudo foil,,,,,,,6,18-19,
BIH2,Bosnia y Herzegovina,2,Nikola Vasilj,base,pegada,0,,POR,FC St. Pauli (GER),02-12-1995,1.93,,high,6,18-19,2026-06-10
BIH3,Bosnia y Herzegovina,3,Amer Dedić,base,pegada,0,,DEF,SL Benfica (POR),18-08-2002,1.80,,high,6,18-19,2026-06-09
BIH4,Bosnia y Herzegovina,4,Sead Kolašinac,base,pegada,0,,DEF,Atalanta BC (ITA),20-06-1993,1.83,,high,6,18-19,
BIH5,Bosnia y Herzegovina,5,Tarik Muharemović,base,pegada,1,,DEF,US Sassuolo (ITA),28-02-2003,1.93,,high,6,18-19,2026-06-13
BIH6,Bosnia y Herzegovina,6,Nihad Mujakić,base,pegada,0,,DEF,Gaziantep FK (TUR),15-04-1998,1.89,,med,6,18-19,2026-06-10
BIH7,Bosnia y Herzegovina,7,Nikola Katić,base,falta,0,,DEF,FC Schalke 04 (GER),10-10-1996,1.94,,high,6,18-19,
BIH8,Bosnia y Herzegovina,8,Amir Hadžiahmetović,base,pegada,1,,MED,Hull City AFC (ENG),08-03-1997,1.81,,high,6,18-19,
BIH9,Bosnia y Herzegovina,9,Benjamin Tahirović,base,pegada,5,,MED,Brondby IF (DEN),03-03-2003,1.91,,high,6,18-19,2026-06-13
BIH10,Bosnia y Herzegovina,10,Armin Gigović,base,pegada,0,,MED,BSC Young Boys (SUI),06-04-2002,1.87,,med,6,18-19,
BIH11,Bosnia y Herzegovina,11,Ivan Šunjić,base,falta,0,,MED,Pafos FC (CYP),09-10-1996,1.85,,high,6,18-19,
BIH12,Bosnia y Herzegovina,12,Ivan Bašić,base,pegada,1,,MED,FC Astana (KAZ),30-04-2002,1.78,,med,6,18-19,
BIH13,Bosnia y Herzegovina,13,Foto equipo,base,falta,0,,,,,,,,6,18-19,
BIH14,Bosnia y Herzegovina,14,Dženis Burnić,base,pegada,5,,MED,Karlsruher SC (GER),22-05-1998,1.81,,med,6,18-19,2026-06-13
BIH15,Bosnia y Herzegovina,15,Esmir Bajraktarević,base,pegada,0,,MED,New England Revolution (USA),10-03-2005,1.75,,high,6,18-19,2026-06-09
BIH16,Bosnia y Herzegovina,16,Amar Memić,base,tengo,0,,DEL,Viktoria Plzen (CZE),20-01-2001,1.76,,med,6,18-19,2026-06-17
BIH17,Bosnia y Herzegovina,17,Ermedin Demirović,base,falta,0,,DEL,VfB Stuttgart (GER),25-03-1998,1.84,,high,6,18-19,
BIH18,Bosnia y Herzegovina,18,Edin Džeko,base,pegada,0,,DEL,FC Schalke 04 (GER),17-03-1986,1.93,,high,6,18-19,
BIH19,Bosnia y Herzegovina,19,Samed Baždar,base,falta,0,,DEL,Real Zaragoza (ESP),31-01-2004,1.89,,med,6,18-19,
BIH20,Bosnia y Herzegovina,20,Haris Tabaković,base,falta,0,,DEL,Borussia Monchengladbach (GER),29-08-1994,1.96,,high,6,18-19,
BRA1,Brasil,1,Escudo (foil),T2,falta,0,escudo foil,,,,,,,9,24-25,
BRA2,Brasil,2,Alisson,base,falta,0,,POR,Liverpool FC (ENG),02-10-1992,1.93,91,high,9,24-25,
BRA3,Brasil,3,Bento,base,falta,0,,POR,Al-Nassr FC (KSA),10-06-1999,1.90,92,high,9,24-25,
BRA4,Brasil,4,Marquinhos,base,pegada,0,,DEF,Paris Saint-Germain (FRA),14-05-1994,1.83,75,high,9,24-25,2026-06-13
BRA5,Brasil,5,Éder Militão,base,pegada,0,,DEF,Real Madrid (ESP),18-01-1998,1.86,78,high,9,24-25,2026-06-12
BRA6,Brasil,6,Gabriel Magalhães,base,falta,0,,DEF,Arsenal FC (ENG),19-12-1997,1.90,78,high,9,24-25,
BRA7,Brasil,7,Danilo,base,falta,0,,DEF,CR Flamengo (BRA),15-07-1991,1.84,,high,9,24-25,
BRA8,Brasil,8,Wesley,base,pegada,1,,DEF,AS Roma (ITA),06-09-2003,1.78,73,high,9,24-25,2026-06-13
BRA9,Brasil,9,Lucas Paquetá,base,pegada,0,,MED,CR Flamengo (BRA),27-08-1997,1.80,72,med,9,24-25,2026-06-10
BRA10,Brasil,10,Casemiro,base,falta,0,,MED,Manchester United (ENG),23-02-1992,1.85,84,high,9,24-25,
BRA11,Brasil,11,Bruno Guimarães,base,falta,0,,MED,Newcastle United (ENG),16-11-1997,1.82,74,high,9,24-25,
BRA12,Brasil,12,Luiz Henrique,base,perdida,0,,DEL,Zenit Saint Petersburg (RUS),02-01-2001,1.82,,high,9,24-25,2026-06-06
BRA13,Brasil,13,Foto equipo,base,falta,0,,,,,,,,9,24-25,
BRA14,Brasil,14,Vinicius Júnior,T3,pegada,0,,DEL,Real Madrid (ESP),12-07-2000,1.76,73,high,9,24-25,2026-06-09
BRA15,Brasil,15,Rodrygo,base,pegada,1,,DEL,Real Madrid (ESP),09-01-2001,1.74,64,high,9,24-25,2026-06-10
BRA16,Brasil,16,João Pedro,base,pegada,0,,DEL,Chelsea FC (ENG),26-09-2001,1.86,70,high,9,24-25,2026-06-13
BRA17,Brasil,17,Matheus Cunha,base,perdida,0,,DEL,Manchester United (ENG),27-05-1999,1.83,76,high,9,24-25,2026-06-06
BRA18,Brasil,18,Gabriel Martinelli,base,pegada,0,,DEL,Arsenal FC (ENG),18-06-2001,1.78,75,high,9,24-25,2026-06-16
BRA19,Brasil,19,Raphinha,base,pegada,1,,DEL,FC Barcelona (ESP),14-12-1996,1.76,,high,9,24-25,2026-06-09
BRA20,Brasil,20,Estêvão,base,pegada,0,,DEL,Chelsea FC (ENG),24-04-2007,1.76,62,high,9,24-25,2026-06-13
CAN1,Canada,1,Escudo (foil),T2,falta,0,escudo foil,,,,,,,5,16-17,
CAN2,Canada,2,Dayne St. Clair,base,pegada,0,,POR,Inter Miami CF (USA),09-05-1997,1.91,86,high,5,16-17,
CAN3,Canada,3,Alphonso Davies,base,falta,0,,DEF,Bayern Munich (GER),02-11-2000,1.83,,high,5,16-17,
CAN4,Canada,4,Alistair Johnston,base,pegada,0,,DEF,Celtic FC (SCO),08-10-1998,1.80,74,high,5,16-17,2026-06-16
CAN5,Canada,5,Samuel Adekugbe,base,pegada,0,,DEF,Vancouver Whitecaps (CAN),16-01-1995,1.76,75,high,5,16-17,2026-06-13
CAN6,Canada,6,Richie Laryea,base,pegada,0,,DEF,Toronto FC (CAN),07-01-1995,1.75,,high,5,16-17,
CAN7,Canada,7,Derek Cornelius,base,falta,0,,DEF,Olympique Marseille (FRA),25-11-1997,1.87,,med,5,16-17,
CAN8,Canada,8,Moïse Bombito,base,pegada,1,,DEF,OGC Nice (FRA),30-03-2000,1.90,83,high,5,16-17,2026-06-10
CAN9,Canada,9,Kamal Miller,base,pegada,0,,DEF,Portland Timbers (USA),16-05-1997,1.83,76,high,5,16-17,2026-06-13
CAN10,Canada,10,Stephen Eustáquio,base,pegada,0,,MED,Los Angeles FC (USA),21-12-1996,1.77,,high,5,16-17,
CAN11,Canada,11,Ismaël Koné,base,falta,0,,MED,US Sassuolo (ITA),16-06-2002,1.88,,high,5,16-17,
CAN12,Canada,12,Jonathan Osorio,base,pegada,1,,MED,Toronto FC (CAN),12-06-1992,1.75,,high,5,16-17,2026-06-10
CAN13,Canada,13,Foto equipo,base,falta,0,,,,,,,,5,16-17,
CAN14,Canada,14,Jacob Shaffelburg,base,pegada,0,,DEL,Los Angeles FC (USA),26-11-1999,1.81,,high,5,16-17,2026-06-13
CAN15,Canada,15,Mathieu Choinière,base,falta,0,,MED,Los Angeles FC (USA),07-02-1999,1.75,68,high,5,16-17,
CAN16,Canada,16,Niko Sigur,base,falta,0,,DEF,HNK Hajduk Split (CRO),09-09-2003,1.80,,high,5,16-17,
CAN17,Canada,17,Tajon Buchanan,base,falta,0,,DEL,Villarreal CF (ESP),08-02-1999,1.83,68,high,5,16-17,
CAN18,Canada,18,Liam Millar,base,pegada,0,,DEL,Hull City (ENG),27-09-1999,1.81,73,high,5,16-17,2026-06-09
CAN19,Canada,19,Cyle Larin,base,falta,0,,DEL,Southampton FC (ENG),17-04-1995,1.88,,high,5,16-17,
CAN20,Canada,20,Jonathan David,base,falta,0,,DEL,Juventus FC (ITA),14-01-2000,1.78,81,high,5,16-17,
CPV1,Cabo Verde,1,Escudo (foil),T2,falta,0,escudo foil,,,,,,,30,68-69,
CPV2,Cabo Verde,2,Vozinha,base,pegada,0,,POR,GD Chaves (POR),03-06-1986,1.89,,high,30,68-69,2026-06-09
CPV3,Cabo Verde,3,Logan Costa,base,pegada,0,,DEF,Villarreal CF (ESP),01-04-2001,1.90,87,high,30,68-69,2026-06-09
CPV4,Cabo Verde,4,Pico,base,tengo,0,,DEF,Shamrock Rovers (IRL),17-06-1992,1.86,79,med,30,68-69,2026-06-15
CPV5,Cabo Verde,5,Diney,base,tengo,0,,DEF,Al Bataeh CSC (UAE),17-01-1995,1.85,78,med,30,68-69,2026-06-15
CPV6,Cabo Verde,6,Steven Moreira,base,pegada,0,,DEF,Columbus Crew (USA),13-08-1994,1.80,,high,30,68-69,2026-06-09
CPV7,Cabo Verde,7,Wagner Pina,base,pegada,0,,DEF,Trabzonspor (TUR),03-11-2002,1.80,73,high,30,68-69,2026-06-09
CPV8,Cabo Verde,8,João Paulo,base,tengo,0,,MED,FCSB (ROU),26-05-1998,1.80,,med,30,68-69,2026-06-15
CPV9,Cabo Verde,9,Yannick Semedo,base,falta,0,,MED,SC Farense (POR),29-12-1995,1.71,,med,30,68-69,
CPV10,Cabo Verde,10,Kevin Pina,base,pegada,1,,MED,FC Krasnodar (RUS),27-01-1997,1.81,80,med,30,68-69,2026-06-12
CPV11,Cabo Verde,11,Patrick Andrade,base,pegada,0,,MED,Araz-Nakhchivan (AZE),09-02-1993,1.73,,high,30,68-69,2026-06-10
CPV12,Cabo Verde,12,Jamiro Monteiro,base,pegada,1,,MED,PEC Zwolle (NED),23-11-1993,1.75,62,high,30,68-69,2026-06-09
CPV13,Cabo Verde,13,Foto equipo,base,pegada,0,,,,,,,,30,68-69,2026-06-13
CPV14,Cabo Verde,14,Deroy Duarte,base,falta,0,,MED,Ludogorets Razgrad (BUL),04-07-1999,1.77,69,high,30,68-69,
CPV15,Cabo Verde,15,Garry Rodrigues,base,pegada,1,,DEL,Apollon Limassol (CYP),27-11-1990,1.73,,high,30,68-69,
CPV16,Cabo Verde,16,Jovane Cabral,base,pegada,0,,DEL,Estrela Amadora (POR),14-06-1998,1.74,72,high,30,68-69,2026-06-09
CPV17,Cabo Verde,17,Ryan Mendes,base,pegada,0,,DEL,Igdir FK (TUR),08-01-1990,1.78,71,high,30,68-69,2026-06-09
CPV18,Cabo Verde,18,Dailon Livramento,base,falta,0,,DEL,Casa Pia AC (POR),04-05-2001,1.85,,high,30,68-69,
CPV19,Cabo Verde,19,Willy Semedo,base,pegada,0,,DEL,Omonia Nicosia (CYP),27-04-1994,1.85,70,high,30,68-69,2026-06-09
CPV20,Cabo Verde,20,Bebé,base,pegada,0,,DEL,UD Ibiza (ESP),12-07-1990,1.90,82,high,30,68-69,2026-06-09
COL1,Colombia,1,Escudo (foil),T2,pegada,1,escudo foil,,,,,,,44,96-97,2026-06-14
COL2,Colombia,2,Camilo Vargas,base,perdida,0,,POR,Atlas FC (MEX),09-03-1989,1.83,,high,44,96-97,2026-06-06
COL3,Colombia,3,David Ospina,base,tengo,1,,POR,Atletico Nacional (COL),31-08-1988,1.83,78,high,44,96-97,2026-06-15
COL4,Colombia,4,Dávinson Sánchez,base,falta,0,,DEF,Galatasaray (TUR),12-06-1996,1.87,79,high,44,96-97,
